Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231112 Air traffic controller,Male,1669,157395,157752,141509,147881,161186,161288
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231112 Air traffic controller,Total,2068,147314,146748,133931,138850,151085,150056
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231113 Flying instructor,Female,56,52134,43405,47099,44122,58066,47945
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231113 Flying instructor,Male,467,73599,63084,69333,62381,78200,67475
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231113 Flying instructor,Total,523,71301,59838,66924,59353,76040,64579
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231114 Helicopter pilot,Female,60,75959,60656,73168,65010,83878,65566
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231114 Helicopter pilot,Male,1569,116720,103482,115088,102922,123579,111146
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231114 Helicopter pilot,Total,1629,115218,100680,113540,100908,122116,108351
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231199 Air safety inspector or investigator,Female,259,70180,63302,71329,64973,73105,66219
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231199 Air safety inspector or investigator,Male,1560,108968,97532,105367,97446,113499,100889
"23 Design, engineering, science and transport professionals",2311 Air transport professionals,231199 Air safety inspector or investigator,Total,1819,103445,91417,100491,91632,107747,95639
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231211 Master fisher,Female,14,97853,76335,46164,35910,105757,77343
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231211 Master fisher,Male,327,76311,64703,60657,53214,80173,68248
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231211 Master fisher,Total,341,77195,64811,60237,52442,81223,69618
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231212 Engineer - marine,Female,113,90340,83849,89268,81644,94134,84216
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231212 Engineer - marine,Male,4516,115068,100830,109912,100148,119627,105429
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231212 Engineer - marine,Total,4629,114464,100359,109399,99749,119005,104957
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231213 Ship's captain or master,Female,72,81085,58007,78856,61154,84422,61370
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231213 Ship's captain or master,Male,2583,117161,98255,110180,97247,122420,103147
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231213 Ship's captain or master,Total,2655,116182,96625,109328,96026,121389,102082
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231214 Marine navigator,Female,146,71566,68145,73959,70170,74549,71605
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231214 Marine navigator,Male,1387,112386,99103,110517,99731,117112,103824
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231214 Marine navigator,Total,1533,108499,94077,107001,94624,113056,99920
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231215 Engineer - marine surveyor,Female,27,73700,74547,78369,78945,76067,78978
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231215 Engineer - marine surveyor,Male,730,99877,88814,95348,88273,104989,96085
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231215 Engineer - marine surveyor,Total,757,98943,88017,94734,88000,103957,95264
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231299 Manager - marine certification and surveillance,Female,83,79041,78299,73536,79746,81251,82169
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231299 Manager - marine certification and surveillance,Male,483,106844,100346,104347,100535,110352,102436
"23 Design, engineering, science and transport professionals",2312 Marine transport professional,231299 Manager - marine certification and surveillance,Total,566,102767,94769,99780,96106,106084,99080
"23 Design, engineering, science and transport professionals",2320 Designer - type not specified,232000 Designer - type not specified,Female,17,44945,42557,45987,45447,46943,44436
"23 Design, engineering, science and transport professionals",2320 Designer - type not specified,232000 Designer - type not specified,Male,14,42158,31642,44413,31775,46464,38281
"23 Design, engineering, science and transport professionals",2320 Designer - type not specified,232000 Designer - type not specified,Total,31,43686,36666,45253,39837,46726,44436
"23 Design, engineering, science and transport professionals",2321 Architect or landscape architect,232111 Architect,Female,5880,69523,60963,62539,59398,72249,63357
"23 Design, engineering, science and transport professionals",2321 Architect or landscape architect,232111 Architect,Male,11686,96532,80136,85619,78558,100862,83829
"23 Design, engineering, science and transport professionals",2321 Architect or landscape architect,232111 Architect,Total,17566,87491,72975,77825,70580,91282,76000
"23 Design, engineering, science and transport professionals",2321 Architect or landscape architect,232112 Landscape architect,Female,1176,61425,57134,57643,56537,63534,59771
"23 Design, engineering, science and transport professionals",2321 Architect or landscape architect,232112 Landscape architect,Male,1705,73840,67363,69006,66765,76934,70575
"23 Design, engineering, science and transport professionals",2321 Architect or landscape architect,232112 Landscape architect,Total,2881,68772,63012,64349,62480,71463,65908
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232200 Surveyor - type not specified,Male,23,59621,67143,61363,64635,61561,68698
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232200 Surveyor - type not specified,Total,23,59621,67143,61363,64635,61561,68698
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232212 Scientist - surveyor,Female,439,71523,69449,69605,68012,73919,71338
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232212 Scientist - surveyor,Male,7976,96521,87687,89962,86545,100180,90788
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232212 Scientist - surveyor,Total,8415,95217,86946,88896,85734,98810,89914
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232213 Cartographer,Female,295,68255,66319,65410,65212,69571,67856
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232213 Cartographer,Male,670,83589,80064,79861,79754,85227,81603
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232213 Cartographer,Total,965,78901,76576,75432,75812,80441,78051
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232214 Geographic information systems manager,Female,401,66480,68203,65411,69125,67904,69574
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232214 Geographic information systems manager,Male,821,87559,84491,84388,84977,89404,86262
"23 Design, engineering, science and transport professionals",2322 Cartographer or surveyor,232214 Geographic information systems manager,Total,1222,80642,79597,78156,79871,82349,81278
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232311 Clothing designer,Female,3459,63235,50588,54955,49913,66257,53077
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232311 Clothing designer,Male,420,82796,62352,77205,62673,86641,67113
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232311 Clothing designer,Total,3879,65353,51659,57355,50750,68467,54182
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232312 Designer - furniture,Female,858,59470,53674,56072,53997,61589,55807
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232312 Designer - furniture,Male,2754,76572,71243,73291,71348,79004,73595
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232312 Designer - furniture,Total,3612,72510,66837,69221,66692,74867,69289
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232313 Designer - jewellery,Female,298,45533,40259,39582,37767,47037,41658
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232313 Designer - jewellery,Male,206,60227,52103,54444,51412,62792,54286
"23 Design, engineering, science and transport professionals","2323 Fashion, industrial or jewellery designer",232313 Designer - jewellery,Total,504,51539,45270,45623,42312,53477,46754
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232411 Artist - commercial,Female,14738,51194,48609,46810,46750,52851,50285
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232411 Artist - commercial,Male,12815,63867,59454,59647,58338,65963,61357
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232411 Artist - commercial,Total,27553,57088,53330,52777,52000,58949,55096
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232412 Illustrator,Female,111,62245,45126,41477,39341,63800,47568
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232412 Illustrator,Male,175,58304,56546,53707,54115,61183,59828
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232412 Illustrator,Total,286,59834,51141,48902,47216,62202,52864
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232413 Designer - multimedia,Female,589,59886,55562,56364,53999,62127,57936
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232413 Designer - multimedia,Male,1006,75207,69920,71098,69553,77713,72768
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232413 Designer - multimedia,Total,1595,69550,63927,65680,62700,71964,66664
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232414 Designer - web,Female,1721,61034,57552,57981,55902,62727,59121
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232414 Designer - web,Male,3732,75145,71450,70235,69864,77164,73443
"23 Design, engineering, science and transport professionals","2324 Graphic or web designer, or illustrator",232414 Designer - web,Total,5453,70692,67125,66358,65239,72606,69035
"23 Design, engineering, science and transport professionals",2325 Interior designer,232511 Designer - interior,Female,5370,57805,50835,51923,50000,60468,53553
"23 Design, engineering, science and transport professionals",2325 Interior designer,232511 Designer - interior,Male,978,77032,64212,68487,63569,80242,66882
"23 Design, engineering, science and transport professionals",2325 Interior designer,232511 Designer - interior,Total,6348,60767,52460,54471,51508,63511,54937
"23 Design, engineering, science and transport professionals",2326 Urban and regional planner,232611 Planner - town,Female,4664,81098,76320,77821,76036,83356,78394
"23 Design, engineering, science and transport professionals",2326 Urban and regional planner,232611 Planner - town,Male,5385,101296,92034,97329,91820,104230,94330
"23 Design, engineering, science and transport professionals",2326 Urban and regional planner,232611 Planner - town,Total,10049,91922,84289,88260,84386,94540,86678
"23 Design, engineering, science and transport professionals",2330 Engineer - type not specified,233000 Engineer - type not specified,Female,35,83037,71024,79862,70977,83753,71039
"23 Design, engineering, science and transport professionals",2330 Engineer - type not specified,233000 Engineer - type not specified,Male,358,130368,112435,117587,107834,134287,115057
"23 Design, engineering, science and transport professionals",2330 Engineer - type not specified,233000 Engineer - type not specified,Total,393,126153,107196,114047,104897,129763,111910
"23 Design, engineering, science and transport professionals",2331 Chemical or materials engineer,233111 Chemical engineer,Female,1681,96339,86836,93430,86724,98307,88764
"23 Design, engineering, science and transport professionals",2331 Chemical or materials engineer,233111 Chemical engineer,Male,4538,129952,112769,123703,111451,133381,115810
"23 Design, engineering, science and transport professionals",2331 Chemical or materials engineer,233111 Chemical engineer,Total,6219,120866,103581,115477,102795,123897,106616
"23 Design, engineering, science and transport professionals",2331 Chemical or materials engineer,233112 Engineer - materials,Female,221,75914,72877,74292,74035,78441,75129
"23 Design, engineering, science and transport professionals",2331 Chemical or materials engineer,233112 Engineer - materials,Male,1376,98325,84630,95751,84285,101479,87901
"23 Design, engineering, science and transport professionals",2331 Chemical or materials engineer,233112 Engineer - materials,Total,1597,95224,83077,92769,82015,98291,85145
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233211 Civil engineer,Female,4224,81903,74798,79763,75483,84432,77024
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233211 Civil engineer,Male,30284,111911,96986,108097,97887,116115,100619
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233211 Civil engineer,Total,34508,108238,93622,104616,94737,112237,97242
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233212 Engineer - geotechnical,Female,300,87697,80953,85514,79105,90074,83696
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233212 Engineer - geotechnical,Male,1961,103380,89856,100365,89080,107252,93459
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233212 Engineer - geotechnical,Total,2261,101299,87723,98387,87861,104972,91567
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233213 Quantity surveyor,Female,696,78244,70968,77097,71131,80980,73581
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233213 Quantity surveyor,Male,3367,113657,98403,108811,97000,118203,102559
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233213 Quantity surveyor,Total,4063,107590,91950,103333,91637,111824,95865
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233214 Engineer - structural,Female,628,75089,68399,73720,69000,77452,70803
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233214 Engineer - structural,Male,4531,98803,86881,95417,86926,102328,89727
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233214 Engineer - structural,Total,5159,95917,84227,92762,84474,99303,87001
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233215 Engineer - transport,Female,321,82444,80489,83191,83364,84363,82848
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233215 Engineer - transport,Male,1737,104883,96369,103611,97004,108028,99868
"23 Design, engineering, science and transport professionals",2332 Civil engineering professional,233215 Engineer - transport,Total,2058,101383,93469,100405,94120,104337,96607
"23 Design, engineering, science and transport professionals",2333 Electrical engineer,233311 Electrical engineer,Female,1570,86129,81668,86114,83353,88494,84335
"23 Design, engineering, science and transport professionals",2333 Electrical engineer,233311 Electrical engineer,Male,21060,113569,106591,110162,107124,117409,110652
"23 Design, engineering, science and transport professionals",2333 Electrical engineer,233311 Electrical engineer,Total,22630,111665,104827,108483,105434,115402,108540
"23 Design, engineering, science and transport professionals",2334 Electronics engineer,233411 Electronics engineer,Female,431,78675,70843,74015,71885,81001,73296
"23 Design, engineering, science and transport professionals",2334 Electronics engineer,233411 Electronics engineer,Male,6440,99057,91648,94466,90787,102422,95014
"23 Design, engineering, science and transport professionals",2334 Electronics engineer,233411 Electronics engineer,Total,6871,97778,90437,93174,89517,101081,93771
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233511 Engineer - industrial,Female,295,76584,74936,75311,74959,78857,75810
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233511 Engineer - industrial,Male,2439,102152,87998,96560,85916,105698,91104
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233511 Engineer - industrial,Total,2734,99393,86051,94248,84382,102802,89079
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233512 Engineer - mechanical,Female,1660,82886,74889,81196,74918,85026,77064
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233512 Engineer - mechanical,Male,28914,101313,90333,99229,90971,104676,93678
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233512 Engineer - mechanical,Total,30574,100312,89534,98244,90240,103609,92785
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233513 Engineer - production or plant,Female,570,79087,69864,77910,71532,81699,72631
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233513 Engineer - production or plant,Male,5539,98611,85059,96387,86000,101624,88356
"23 Design, engineering, science and transport professionals","2335 Industrial, mechanical or production engineer",233513 Engineer - production or plant,Total,6109,96790,83859,94665,84796,99774,86651
"23 Design, engineering, science and transport professionals",2336 Mining engineer,233611 Engineer - mining,Female,529,119083,116959,119222,117924,122387,121043
"23 Design, engineering, science and transport professionals",2336 Mining engineer,233611 Engineer - mining,Male,5711,166797,146293,158327,146999,171288,149785
"23 Design, engineering, science and transport professionals",2336 Mining engineer,233611 Engineer - mining,Total,6240,162752,144034,155013,144874,167147,147177
"23 Design, engineering, science and transport professionals",2336 Mining engineer,233612 Engineer - petroleum,Female,320,145628,124262,139469,124588,148592,126724
"23 Design, engineering, science and transport professionals",2336 Mining engineer,233612 Engineer - petroleum,Male,1736,187856,154191,175108,150386,192367,159376
"23 Design, engineering, science and transport professionals",2336 Mining engineer,233612 Engineer - petroleum,Total,2056,181284,147880,169566,145331,185551,151969
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233911 Aeronautical engineer,Female,241,82784,81038,82853,81044,85363,82868
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233911 Aeronautical engineer,Male,2616,105834,100873,104209,100522,109293,103859
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233911 Aeronautical engineer,Total,2857,103890,98355,102420,98235,107274,101696
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233912 Agricultural engineer,Female,43,65927,58121,59437,55973,67941,61649
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233912 Agricultural engineer,Male,334,77731,69651,77188,72879,80782,73703
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233912 Agricultural engineer,Total,377,76384,68599,75103,70175,79317,72488
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233913 Biomedical engineer,Female,323,67816,65565,67182,67461,70245,68814
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233913 Biomedical engineer,Male,1091,87907,82868,83866,83301,92656,87256
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233913 Biomedical engineer,Total,1414,83318,78520,80039,78984,87530,82837
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233914 Engineer - engineering technologist,Female,223,76507,69106,77296,71291,79280,71782
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233914 Engineer - engineering technologist,Male,2166,101604,93247,98887,92911,105219,96790
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233914 Engineer - engineering technologist,Total,2389,99261,90929,96874,90712,102807,94108
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233915 Engineer - environmental,Female,988,80824,74277,79764,75421,83116,76362
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233915 Engineer - environmental,Male,1824,100760,90895,97648,91623,104136,94064
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233915 Engineer - environmental,Total,2812,93755,85310,91322,86073,96750,88130
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233916 Engineer - naval architect,Female,30,68021,60426,60985,58629,69225,61831
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233916 Engineer - naval architect,Male,353,114972,106131,109297,103390,117702,108942
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233916 Engineer - naval architect,Total,383,111294,102060,105493,99000,113905,105323
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233999 Engineer - other professional,Female,1754,98135,83414,92548,82896,100997,85647
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233999 Engineer - other professional,Male,15680,124815,105587,116393,103332,129075,109848
"23 Design, engineering, science and transport professionals",2339 Other engineering professional,233999 Engineer - other professional,Total,17434,122131,103033,113985,100987,126249,107095
"23 Design, engineering, science and transport professionals",2340 Scientist - type not specified,234000 Scientist - type not specified,Female,30,82285,72841,77912,60498,84237,72861
"23 Design, engineering, science and transport professionals",2340 Scientist - type not specified,234000 Scientist - type not specified,Male,57,95938,90476,94724,89420,101162,95278
"23 Design, engineering, science and transport professionals",2340 Scientist - type not specified,234000 Scientist - type not specified,Total,87,91230,89209,88840,86723,95258,91059
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234111 Agricultural field officer,Female,719,54403,49749,49073,48774,56844,52105
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234111 Agricultural field officer,Male,1594,67499,64344,64440,65575,70143,67303
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234111 Agricultural field officer,Total,2313,63428,59991,59648,60000,66013,62478
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234112 Agricultural scientist,Female,1415,70440,67989,66202,67112,72838,70005
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234112 Agricultural scientist,Male,3377,92309,86772,88438,87289,95337,89427
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234112 Agricultural scientist,Total,4792,85852,82160,81841,81960,88693,84583
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234113 Ecologist - forestry,Female,430,63709,61611,61070,61459,65809,63838
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234113 Ecologist - forestry,Male,1244,81486,79141,79261,79972,84118,81766
"23 Design, engineering, science and transport professionals",2341 Agricultural or forestry scientist,234113 Ecologist - forestry,Total,1674,76920,75159,74557,74919,79415,78035
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234211 Chemist - industrial or research,Female,3774,70683,67232,67404,66795,72757,69024
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234211 Chemist - industrial or research,Male,4628,91508,83860,86937,83589,94026,86113
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234211 Chemist - industrial or research,Total,8402,82154,76243,78152,75915,84466,78652
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234212 Food technologist,Female,1855,63727,58899,62162,59176,65671,60700
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234212 Food technologist,Male,855,81438,74557,78806,74559,84084,76854
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234212 Food technologist,Total,2710,69315,63724,67417,63489,71481,65737
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234213 Wine maker,Female,370,70783,57149,54837,50814,74335,58924
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234213 Wine maker,Male,1337,87482,69534,77895,69788,91857,73715
"23 Design, engineering, science and transport professionals","2342 Chemist, or food and wine scientist",234213 Wine maker,Total,1707,83863,66686,72889,65184,88063,70248
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234311 Conservation officer,Female,739,47333,44019,44351,41933,49393,46019
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234311 Conservation officer,Male,1083,53137,49774,51377,50532,54899,51956
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234311 Conservation officer,Total,1822,50783,47197,48519,46352,52666,48955
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234312 Environmental consultant,Female,5082,70157,65902,66902,65577,72233,68012
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234312 Environmental consultant,Male,5819,83734,78142,80149,77992,86551,80429
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234312 Environmental consultant,Total,10901,77404,72182,73952,72096,79876,74623
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234313 Environmental scientist,Female,3132,77306,72624,74724,72725,79570,74551
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234313 Environmental scientist,Male,3827,98799,89841,94246,90258,101868,92255
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234313 Environmental scientist,Total,6959,89126,83047,85441,82785,91828,85269
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234314 Park ranger,Female,1371,56637,56780,55428,57353,58754,58779
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234314 Park ranger,Male,4437,65873,66438,64970,67816,68070,68566
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234314 Park ranger,Total,5808,63693,64143,62721,65600,65873,66410
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234399 Scientist - soil scientist,Female,79,67887,70854,65730,65609,69520,71014
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234399 Scientist - soil scientist,Male,237,97362,93075,86045,90549,100550,98020
"23 Design, engineering, science and transport professionals",2343 Environmental scientist,234399 Scientist - soil scientist,Total,316,89993,87530,80966,83556,92792,91008
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234411 Geologist,Female,1950,98686,91677,95104,90492,101044,93820
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234411 Geologist,Male,5792,137780,113244,126877,109404,141522,116085
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234411 Geologist,Total,7742,127933,106318,118798,103633,131328,109099
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234412 Geophysicist,Female,238,107874,87593,105930,87200,109665,88517
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234412 Geophysicist,Male,1033,143801,103771,135527,101287,146911,106209
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234412 Geophysicist,Total,1271,137074,100535,129876,98784,139937,102896
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234413 Hydrogeologist,Female,79,79696,74011,75647,75568,81866,75929
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234413 Hydrogeologist,Male,220,101780,89450,96781,91223,104320,91619
"23 Design, engineering, science and transport professionals",2344 Geologist or geophysicist,234413 Hydrogeologist,Total,299,95945,86225,91141,87370,98388,87952
"23 Design, engineering, science and transport professionals",2345 Life scientist,234511 Biologist,Female,3442,68694,67603,66622,67616,70584,69398
"23 Design, engineering, science and transport professionals",2345 Life scientist,234511 Biologist,Male,2501,86309,84546,84259,84652,88443,86326
"23 Design, engineering, science and transport professionals",2345 Life scientist,234511 Biologist,Total,5943,76107,74998,74035,74348,78101,76360
"23 Design, engineering, science and transport professionals",2345 Life scientist,234513 Biochemist,Female,1115,72097,70845,68993,69928,73975,72919
"23 Design, engineering, science and transport professionals",2345 Life scientist,234513 Biochemist,Male,910,94436,87368,90205,87411,97324,89286
"23 Design, engineering, science and transport professionals",2345 Life scientist,234513 Biochemist,Total,2025,82136,78226,78482,77966,84455,80219
"23 Design, engineering, science and transport professionals",2345 Life scientist,234514 Biotechnologist,Female,510,72403,71288,69455,70924,74035,72646
"23 Design, engineering, science and transport professionals",2345 Life scientist,234514 Biotechnologist,Male,493,91191,85598,89310,85975,93861,87836
"23 Design, engineering, science and transport professionals",2345 Life scientist,234514 Biotechnologist,Total,1003,81638,77802,79214,77168,83780,79560
"23 Design, engineering, science and transport professionals",2345 Life scientist,234515 Botanist,Female,229,65991,65792,62436,64346,67760,66946
"23 Design, engineering, science and transport professionals",2345 Life scientist,234515 Botanist,Male,238,77174,78839,72596,77217,80146,80936
"23 Design, engineering, science and transport professionals",2345 Life scientist,234515 Botanist,Total,467,71690,72414,67615,70841,74072,74656
"23 Design, engineering, science and transport professionals",2345 Life scientist,234516 Marine biologist,Female,529,57923,54424,57072,55293,60055,56446
"23 Design, engineering, science and transport professionals",2345 Life scientist,234516 Marine biologist,Male,673,86158,84084,83894,84586,89331,86373
"23 Design, engineering, science and transport professionals",2345 Life scientist,234516 Marine biologist,Total,1202,73732,70654,72099,71210,76449,73957
"23 Design, engineering, science and transport professionals",2345 Life scientist,234517 Microbiologist,Female,1311,67313,63411,64915,63352,69091,65039
"23 Design, engineering, science and transport professionals",2345 Life scientist,234517 Microbiologist,Male,632,86044,80999,84162,81480,88591,82803
"23 Design, engineering, science and transport professionals",2345 Life scientist,234517 Microbiologist,Total,1943,73405,69127,71162,69134,75433,70904
"23 Design, engineering, science and transport professionals",2345 Life scientist,234518 Ecologist - animal,Female,621,57116,56159,54933,55275,59403,58377
"23 Design, engineering, science and transport professionals",2345 Life scientist,234518 Ecologist - animal,Male,588,76996,75689,72934,76134,81853,78330
"23 Design, engineering, science and transport professionals",2345 Life scientist,234518 Ecologist - animal,Total,1209,66784,64035,63731,64532,70322,66615
"23 Design, engineering, science and transport professionals",2345 Life scientist,234599 Biophysicist,Female,862,62686,59770,57523,56381,65154,63669
"23 Design, engineering, science and transport professionals",2345 Life scientist,234599 Biophysicist,Male,597,83594,78670,78622,77755,86709,82174
"23 Design, engineering, science and transport professionals",2345 Life scientist,234599 Biophysicist,Total,1459,71241,68073,66114,65397,73974,70544
