Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
12 Farmers and farm managers,1212 Crop farmer,"121214 Grain, oilseed or pasture grower",Female,85,55238,37580,20455,12770,60037,43302
12 Farmers and farm managers,1212 Crop farmer,"121214 Grain, oilseed or pasture grower",Male,453,64254,57493,50529,49869,68972,61472
12 Farmers and farm managers,1212 Crop farmer,"121214 Grain, oilseed or pasture grower",Total,538,62829,53587,45816,41665,67560,59521
12 Farmers and farm managers,1212 Crop farmer,121215 Grape grower,Female,142,47072,38356,36282,23750,50110,41501
12 Farmers and farm managers,1212 Crop farmer,121215 Grape grower,Male,758,114762,55978,56807,55441,118219,59700
12 Farmers and farm managers,1212 Crop farmer,121215 Grape grower,Total,900,104082,54156,53597,51894,107473,57142
12 Farmers and farm managers,1212 Crop farmer,121216 Farmer/farm overseer - mixed crop,Female,377,64453,43765,25427,20000,70836,48602
12 Farmers and farm managers,1212 Crop farmer,121216 Farmer/farm overseer - mixed crop,Male,1890,66504,55669,49029,47297,72058,61311
12 Farmers and farm managers,1212 Crop farmer,121216 Farmer/farm overseer - mixed crop,Total,2267,66163,54274,45212,42640,71854,59843
12 Farmers and farm managers,1212 Crop farmer,121217 Sugar cane grower,Female,70,63191,44778,22973,20800,66246,46582
12 Farmers and farm managers,1212 Crop farmer,121217 Sugar cane grower,Male,460,65918,59397,45222,45240,69241,61970
12 Farmers and farm managers,1212 Crop farmer,121217 Sugar cane grower,Total,530,65558,59019,42680,41968,68846,60788
12 Farmers and farm managers,1212 Crop farmer,121218 Turf grower,Female,30,48659,35980,37393,32186,50164,36080
12 Farmers and farm managers,1212 Crop farmer,121218 Turf grower,Male,333,57530,51304,51143,51652,59764,54150
12 Farmers and farm managers,1212 Crop farmer,121218 Turf grower,Total,363,56796,49796,50035,49766,58971,52722
12 Farmers and farm managers,1212 Crop farmer,121221 Market gardener - vegetables,Female,445,42055,29549,28525,23637,43349,30586
12 Farmers and farm managers,1212 Crop farmer,121221 Market gardener - vegetables,Male,1010,59589,46569,44399,41444,62680,48566
12 Farmers and farm managers,1212 Crop farmer,121221 Market gardener - vegetables,Total,1455,54227,40808,39618,35863,56777,43152
12 Farmers and farm managers,1212 Crop farmer,121299 Mushroom farmer or farm overseer,Female,288,44938,33432,28881,26354,47478,35115
